THERMO                                                                          
   300.000  1500.000  5000.000                                                  
-3.15615204E+04-2.82318721E+01 1.14693249E+00 3.30207631E-02-1.83603122E-05    3
 4.87883767E-09-4.71468882E-13-2.81892947E+04 2.03174885E+01                   4
c3h6              0529  c   3h   6    0    0G   300.000  5000.000 1392.000     1
 7.80298461E+00 1.42210218E-02-4.82208570E-06 7.44144855E-10-4.29878642E-14    2
-1.90598630E+03-1.92865441E+01-2.66178276E-01 3.09732472E-02-1.75662047E-05    3
 4.93477290E-09-5.38195751E-13 1.13828036E+03 2.48470047E+01                   4
ic5h11cho         0529  c   6h  12o   1    0G   300.000  5000.000 1387.000     1
 1.86583088E+01 3.04912297E-02-1.04409927E-05 1.62224476E-09-9.41696560E-14    2
-4.12860005E+04-7.48271524E+01-1.17086551E+00 7.03340616E-02-3.86086341E-05    3
 9.51627698E-09-7.17888827E-13-3.37176074E+04 3.40228680E+01                   4
cc5h10            0529  c   5h  10    0    0G   300.000  5000.000 1392.000     1
 1.37941263E+01 2.42816190E-02-8.26372202E-06 1.27852640E-09-7.39937418E-14    2
-1.11080292E+04-5.12110027E+01-1.43855708E+00 5.65926137E-02-3.36204472E-05    3
 1.00094051E-08-1.18208578E-12-5.44729696E+03 3.18306004E+01                   4
ic3h7cho          0529  c   4h   8o   1    0G   300.000  5000.000 1386.000     1
 1.27755393E+01 2.02936151E-02-6.94169468E-06 1.07774389E-09-6.25281585E-14    2
-3.27746522E+04-4.35444007E+01 4.98642824E-01 4.41159186E-02-2.27028873E-05    3
 4.85700372E-09-2.05037083E-13-2.79928913E+04 2.41671040E+01                   4
ic4h8             0529  c   4h   8    0    0G   300.000  5000.000 1391.000     1
 1.08366442E+01 1.92161466E-02-6.52997278E-06 1.00922014E-09-5.83632559E-14    2
-8.01103758E+03-3.52389927E+01-5.77567859E-01 4.32948944E-02-2.53769423E-05    3
 7.52060748E-09-8.96451838E-13-3.74165059E+03 2.70571026E+01                   4
ic4h9cho          0529  c   5h  10o   1    0G   300.000  5000.000 1387.000     1
 1.57826240E+01 2.53378181E-02-8.67284219E-06 1.34714672E-09-7.81849076E-14    2
-3.75699663E+04-6.05481788E+01-6.28749062E-01 5.85332892E-02-3.24946839E-05    3
 8.26353181E-09-6.88304390E-13-3.13227439E+04 2.94710868E+01                   4
END                                                                             
